cgpa,internships,projects,aptitude_score,soft_skills_score,extracurricular,backlogs,placed
5.45,2,3,97,4.0,1,0,1
8.28,2,2,70,2.9,1,0,1
5.34,0,2,42,1.9,1,1,0
6.53,0,1,70,3.5,0,1,0
9.06,0,0,62,1.2,1,1,0
5.11,1,1,81,2.3,0,0,0
8.91,1,1,64,2.9,1,1,0
6.35,1,1,57,1.6,1,0,0
5.57,0,0,50,4.9,1,2,0
8.34,1,3,48,1.8,0,2,0
8.02,1,5,86,1.5,0,0,1
9.21,1,3,71,1.8,1,1,1
8.53,4,3,63,4.1,1,0,1
8.86,0,1,49,2.7,1,0,1
6.35,1,4,81,3.3,0,0,1
5.85,1,1,80,1.1,1,0,1
8.6,1,4,86,1.1,1,1,1
8.87,2,5,53,2.8,0,0,1
9.75,1,2,55,4.3,0,0,1
6.98,4,5,98,4.5,1,0,1
6.79,0,2,71,1.3,1,1,0
8.73,0,1,61,3.2,1,2,0
6.64,2,1,89,4.7,1,1,1
9.47,1,2,63,2.6,1,1,0
9.12,0,0,54,4.3,1,0,1
7.06,0,2,59,1.5,0,0,0
8.6,0,5,97,4.7,0,0,1
8.62,3,1,70,4.0,1,0,1
5.49,0,3,36,4.8,1,1,0
9.33,0,4,56,3.7,1,0,1
7.43,0,4,50,2.5,1,1,0
8.97,1,4,52,4.8,0,0,1
6.54,0,2,88,2.1,1,0,1
9.3,1,5,64,2.3,0,0,1
6.87,0,3,79,3.8,0,1,0
5.05,2,1,53,4.1,1,1,0
9.35,0,2,68,4.7,1,2,0
5.44,1,2,47,1.8,1,0,0
6.53,3,1,77,4.2,0,4,0
9.56,1,2,96,4.0,1,0,1
9.56,1,2,56,1.3,0,0,1
7.75,0,1,86,2.5,0,4,0
8.03,0,2,86,2.1,1,0,1
7.15,1,3,70,2.2,1,1,0
6.41,4,2,53,4.9,1,0,1
6.58,1,0,72,3.6,0,0,0
8.23,1,0,91,3.9,1,2,0
8.61,2,1,54,4.9,0,0,1
8.8,1,4,43,2.5,1,1,0
8.79,0,1,66,4.2,0,0,1
5.44,1,2,38,2.7,0,0,0
7.37,3,1,84,4.5,1,0,1
5.28,0,1,39,1.7,1,0,0
7.64,1,3,54,4.8,0,0,1
7.12,0,2,71,1.9,0,0,0
9.26,1,0,56,2.3,1,2,0
6.68,0,1,92,4.0,0,0,0
5.56,1,0,78,2.6,0,0,0
5.69,2,2,68,3.4,0,0,1
8.66,0,2,76,2.8,0,0,1
7.97,1,0,43,4.0,1,1,0
5.49,2,1,41,1.9,1,3,0
5.4,3,1,53,1.2,1,0,1
8.36,0,4,65,2.2,1,2,0
5.35,1,5,69,2.9,1,0,1
8.94,0,0,91,1.7,0,0,1
8.39,4,3,95,2.4,0,1,1
5.39,3,1,65,2.6,0,0,1
5.41,1,1,87,1.2,0,1,0
9.74,2,3,66,3.3,1,2,1
6.8,1,4,100,4.5,1,0,1
6.78,1,4,93,1.6,0,2,0
8.9,0,2,44,3.4,1,1,0
9.55,2,1,36,3.7,1,0,1
9.73,0,3,100,2.7,1,0,1
8.62,2,1,94,3.8,1,0,1
6.81,2,2,51,2.6,1,4,0
5.4,2,1,50,3.0,1,1,0
8.73,0,2,50,1.0,1,0,0
7.68,0,1,80,3.8,1,0,1
7.04,0,1,73,3.6,0,0,1
9.35,1,4,65,1.2,0,0,1
5.53,0,0,35,2.5,1,0,0
7.36,3,2,45,4.9,0,0,1
5.05,1,1,38,2.7,0,0,0
7.25,0,0,60,3.0,1,0,0
5.27,1,0,84,4.6,0,0,1
5.57,1,1,46,3.9,1,0,1
5.56,1,3,99,3.3,1,1,0
8.12,1,1,81,4.2,1,0,1
8.58,3,4,87,4.5,1,0,1
7.8,1,2,36,2.8,0,0,1
9.62,4,1,58,2.9,1,0,1
6.8,2,2,38,2.5,1,0,0
6.37,0,2,53,4.9,1,0,1
9.17,3,3,60,3.8,0,0,1
6.07,0,1,74,1.3,0,1,0
9.62,2,1,84,4.5,1,1,1
5.06,1,3,77,2.9,0,1,0
9.66,2,4,46,1.3,1,1,1
5.21,2,3,61,3.2,0,1,0
9.28,2,1,88,2.7,0,0,1
7.53,2,3,100,4.5,0,0,1
9.77,0,2,83,1.8,0,0,1
5.35,0,2,50,4.3,1,0,0
7.66,1,1,36,3.2,1,1,0
9.65,0,2,94,1.2,0,0,1
7.51,1,1,88,4.9,1,0,1
8.02,0,1,64,3.1,0,0,0
8.34,4,3,72,2.2,1,0,1
7.18,1,1,62,2.9,0,1,0
8.01,2,0,59,4.4,1,2,0
7.8,0,0,44,2.2,1,0,0
9.33,2,4,94,1.8,1,1,1
5.22,3,2,76,1.5,1,0,1
6.35,1,1,74,2.2,1,2,0
9.56,1,3,76,4.1,1,0,1
9.27,2,3,81,2.9,1,0,1
7.19,0,1,71,1.9,1,0,0
7.98,1,2,56,1.7,1,1,0
6.33,1,3,91,2.3,0,3,0
5.9,0,2,61,4.8,1,0,0
7.23,1,1,75,2.4,0,0,0
6.7,0,3,68,5.0,1,2,0
7.8,0,2,66,2.9,1,0,1
5.37,0,1,100,1.7,1,0,1
9.68,4,1,46,4.6,0,0,1
9.73,1,0,74,2.8,0,0,1
8.35,4,0,44,3.8,1,1,1
7.57,1,3,82,4.9,1,1,1
6.49,0,0,54,1.2,0,0,0
8.91,1,1,73,1.4,0,0,1
8.29,1,2,94,3.9,1,1,1
5.78,0,0,100,2.1,1,0,1
9.37,1,5,99,1.7,0,2,0
8.95,0,1,85,1.2,0,0,1
9.56,1,1,70,1.1,0,0,1
8.48,1,1,58,4.1,1,2,0
7.94,0,1,61,1.5,0,1,0
7.01,0,0,36,2.9,0,0,0
9.48,2,2,65,3.4,0,1,0
9.16,1,4,91,2.7,0,0,1
5.22,0,1,100,1.1,1,0,1
5.13,4,2,63,4.1,0,4,0
6.81,0,2,49,1.0,0,1,0
8.89,1,3,46,4.0,1,0,1
9.74,4,1,62,4.6,0,0,1
5.72,0,1,58,2.7,0,0,0
7.85,0,1,55,3.1,1,0,0
6.83,0,2,44,2.9,1,0,1
9.66,0,3,52,2.6,1,1,0
9.04,0,1,48,4.5,1,0,1
9.02,1,1,68,4.6,1,1,0
7.25,0,4,92,2.3,0,0,1
6.99,1,3,56,3.5,1,0,1
6.31,4,5,70,4.7,1,0,1
5.27,2,3,79,4.8,1,0,1
9.15,1,1,70,3.0,1,0,1
8.9,0,2,56,2.8,0,3,0
9.8,1,2,95,2.1,1,0,1
9.78,1,0,90,4.8,1,2,1
7.67,1,2,67,1.6,1,0,0
8.69,0,2,79,3.3,0,4,0
9.53,3,1,70,2.1,0,0,1
9.08,1,3,54,2.1,0,2,0
6.19,0,2,52,2.6,1,0,1
7.16,1,4,72,5.0,0,1,0
5.62,1,0,57,1.2,0,2,0
9.58,2,1,50,3.3,1,0,1
7.91,2,2,93,1.3,0,0,1
6.1,2,1,55,1.6,1,0,1
8.22,0,2,46,2.8,0,2,0
7.97,1,3,50,3.0,1,0,1
6.72,1,0,48,2.0,1,0,0
5.55,0,2,95,2.3,1,0,1
8.22,0,2,80,1.3,1,0,0
7.5,2,1,66,2.2,0,1,0
8.71,0,4,49,4.9,0,0,1
7.5,1,3,78,4.8,0,0,1
9.09,0,2,51,2.3,1,2,0
7.65,0,2,75,3.3,1,0,1
7.69,0,2,88,4.6,1,1,1
9.21,4,4,78,1.0,1,0,1
6.94,2,2,39,4.2,0,0,1
5.64,3,2,61,4.8,1,0,1
5.14,1,3,77,1.4,1,1,0
8.62,0,1,65,1.6,0,0,0
7.98,1,3,51,4.8,1,0,1
8.38,1,1,88,3.2,0,0,1
6.02,2,1,96,1.1,1,0,1
5.65,0,1,66,2.0,1,1,0
5.07,1,5,74,2.8,0,0,0
6.68,0,3,47,3.8,0,1,0
7.83,0,2,69,3.9,0,0,1
6.88,2,2,39,5.0,1,1,0
7.1,1,2,63,2.2,1,0,1
9.34,1,4,59,3.2,0,0,1
6.67,1,2,56,3.1,1,0,1
7.47,1,1,100,2.6,1,1,0
8.76,2,1,79,1.7,0,0,1
6.9,3,3,35,4.9,0,2,0
7.99,3,2,78,4.4,1,2,1
9.14,2,1,73,3.0,1,0,1
9.56,0,0,88,3.4,0,0,1
5.71,1,3,63,1.9,0,0,0
9.45,1,0,88,3.2,0,0,1
7.36,0,2,50,3.8,1,1,0
6.24,2,5,54,3.1,0,1,0
7.2,0,1,80,5.0,0,0,0
9.7,3,1,99,3.4,1,0,1
7.36,1,2,92,2.5,1,0,1
6.58,1,3,87,4.1,0,0,1
8.04,1,2,35,1.7,0,1,0
6.15,3,4,100,2.5,1,0,1
5.36,1,0,63,2.4,0,1,0
5.62,1,2,42,2.7,0,0,0
5.61,0,2,63,4.1,1,0,0
5.73,1,3,85,2.9,0,0,1
5.67,0,1,67,4.2,1,0,0
8.08,2,3,37,3.3,1,0,1
5.87,1,2,94,2.4,0,1,0
6.66,1,1,69,4.2,0,2,0
9.3,0,0,54,2.0,1,0,0
7.28,0,3,73,1.9,1,0,1
8.2,2,1,38,3.0,1,0,1
5.83,0,1,53,2.0,1,2,0
5.92,0,1,79,1.0,0,0,0
5.2,0,3,77,3.6,1,3,0
5.81,3,2,47,3.0,0,0,0
6.34,2,3,47,2.8,1,0,1
5.85,1,1,94,4.9,0,2,0
5.43,0,2,91,3.3,0,0,0
5.58,0,2,86,4.5,1,0,1
7.21,2,3,87,1.6,1,0,1
5.99,1,4,77,3.3,0,0,0
6.75,0,0,76,4.5,0,0,0
7.42,0,2,60,3.3,1,1,1
8.31,0,0,57,3.9,1,1,0
5.19,1,2,77,2.5,0,0,1
8.84,2,1,62,1.4,0,2,0
8.01,0,1,43,2.8,0,0,0
5.39,0,1,54,2.6,1,0,0
9.19,0,2,90,4.5,1,0,1
9.42,4,1,73,2.0,1,0,1
5.29,0,2,85,4.9,1,0,1
6.33,2,1,46,4.8,0,4,0
8.87,1,0,89,2.0,1,0,1
8.59,1,3,45,2.4,1,0,1
5.89,0,1,60,4.6,0,0,0
6.0,0,1,76,4.9,0,1,0
6.78,1,2,61,2.8,1,2,0
7.33,2,1,45,2.3,1,0,1
7.97,1,0,72,3.1,0,0,1
6.77,1,1,77,3.8,1,0,0
7.22,0,4,53,2.1,1,0,0
8.59,4,2,98,3.9,0,0,1
5.18,2,2,40,1.2,0,0,0
6.21,0,2,80,1.2,0,0,0
8.42,4,1,76,2.5,1,0,1
9.3,1,1,99,2.4,0,0,1
7.46,1,3,93,2.3,0,3,0
7.55,2,0,86,3.0,1,2,0
5.51,2,1,81,2.3,1,0,1
7.15,1,1,41,1.8,0,0,1
7.56,0,1,45,2.2,0,0,0
6.16,0,5,95,4.9,1,0,1
6.29,3,0,59,2.6,1,1,0
6.81,0,2,46,2.8,1,0,0
5.1,1,1,60,3.3,0,2,0
6.55,1,5,46,4.9,1,3,0
6.01,1,0,77,2.0,1,0,1
6.57,1,1,85,3.7,1,0,1
5.57,3,2,71,3.9,1,0,1
9.27,0,2,80,3.4,0,0,1
7.85,0,1,87,1.4,0,0,1
8.26,0,1,47,3.7,1,0,1
8.79,3,1,88,1.3,1,2,0
7.39,1,1,91,3.4,1,0,1
5.42,0,1,38,4.0,0,0,0
7.58,2,2,83,1.8,1,0,1
7.82,2,1,41,4.4,1,1,0
8.58,2,1,45,1.1,0,0,0
7.07,3,2,88,4.4,0,2,0
5.61,0,4,79,2.8,1,0,1
6.36,2,2,57,1.9,1,0,1
6.74,1,0,62,1.5,1,0,0
8.1,2,0,91,4.8,1,0,1
7.74,2,4,60,1.3,0,1,1
6.71,2,1,59,1.8,0,0,1
9.74,1,0,88,2.4,1,1,1
7.91,0,2,63,3.5,1,0,1
6.14,1,2,70,3.2,1,0,1
5.49,4,2,48,1.5,1,0,1
5.73,3,1,69,2.2,0,0,1
6.18,0,0,64,2.0,1,1,0
5.77,0,4,51,1.9,0,1,0
5.9,0,1,64,2.6,0,0,0
6.37,2,2,79,3.8,0,0,1
5.83,2,2,85,1.9,0,0,1
9.3,0,2,81,2.5,0,0,1
5.39,1,1,87,2.6,0,0,0
7.52,2,1,98,4.9,0,0,1
6.97,2,2,72,4.8,0,0,1
9.72,1,3,98,4.2,1,0,1
5.54,1,4,41,2.0,0,0,1
6.91,1,0,56,1.3,0,0,0
9.65,0,1,75,2.3,1,0,1
9.15,1,4,44,2.1,1,0,1
8.92,1,2,91,3.0,1,3,0
6.24,2,3,41,4.1,0,0,0
5.82,1,1,84,4.4,1,0,1
8.21,2,2,86,4.4,0,0,1
9.46,0,2,67,2.4,0,0,1
7.67,1,2,35,3.7,0,1,0
7.74,0,1,87,2.3,1,0,1
6.34,0,0,94,1.2,0,3,0
8.69,2,2,68,3.8,0,2,0
5.9,4,1,38,1.0,0,0,0
6.55,0,2,51,2.6,1,0,1
7.04,1,4,38,2.3,1,1,1
7.44,2,1,77,3.8,0,0,1
6.16,0,3,38,4.1,1,0,0
5.55,1,1,35,2.2,1,0,0
7.93,2,2,84,4.2,1,0,1
